"Name","accuracy_max_disparity","acc","ap_avg","eo2_max_diff","eo_max_diff","max_diff_dp","method","seed","f1","f2","data"
"noble-rain-1950","0.2387096774193549","0.78","0.07785257463387822","0.43333333333333335","0.08225108225108235","0.1743589743589744","BFA(ap)","7","0.8","","german_ss"
"true-pyramid-1883","0.12513293158454442","0.7133333333333334","0.07785359124058973","0.2733333333333333","0.2362637362637363","0.3250620347394541","fair-scale(new)","5","1","","german_ss"
"robust-moon-1746","0.16483516483516492","0.7933333333333333","0.07800124592998763","0.4","0.08585858585858586","0.3126550868486352","c-fair(new)","0","10","","german_ss"
"wandering-rain-1892","0.27311827956989243","0.72","0.07827350279036631","0.2733333333333333","0.1068376068376068","0.0694789081885856","fair-scale(new)","7","10","","german_ss"
"worthy-flower-1948","0.14139194139194144","0.76","0.07838792814602598","0.3933333333333334","0.05555555555555547","0.17419354838709675","BFA(ap)","6","1","","german_ss"
"polished-shadow-1884","0.11343495214462962","0.76","0.07938388183543953","0.2733333333333333","0.17460317460317454","0.2803970223325062","fair-scale(new)","5","10","","german_ss"
"chocolate-cherry-1889","0.24086021505376343","0.7133333333333334","0.08051597825167126","0.3533333333333334","0.0793650793650793","0.0811768876285005","fair-scale(new)","7","0.01","","german_ss"
"wandering-night-1890","0.24086021505376343","0.7133333333333334","0.08051597825167126","0.3533333333333334","0.0793650793650793","0.0811768876285005","fair-scale(new)","7","0.1","","german_ss"
"summer-plasma-1744","0.13040293040293038","0.7733333333333333","0.08308293986866461","0.23333333333333336","0.11616161616161612","0.23573200992555832","c-fair(new)","0","1","","german_ss"
"brisk-disco-1752","0.1648351648351648","0.72","0.08723094982388381","0.48","0.12637362637362637","0.13186813186813184","c-fair(new)","1","100","","german_ss"
"silvery-waterfall-1871","0.2512820512820513","0.7333333333333333","0.0873942965606193","0.6333333333333334","0.1581196581196581","0.1692307692307693","fair-scale(new)","2","1","","german_ss"
"playful-universe-1885","0.30024813895781644","0.7466666666666667","0.09483283891271976","0.28","0.11111111111111116","0.1333333333333333","fair-scale(new)","6","0.01","","german_ss"
"hardy-waterfall-1886","0.30024813895781644","0.7466666666666667","0.09483283891271976","0.28","0.11111111111111116","0.1333333333333333","fair-scale(new)","6","0.1","","german_ss"
"feasible-shadow-1872","0.2512820512820513","0.74","0.09568952071837776","0.6333333333333334","0.1581196581196581","0.18021978021978025","fair-scale(new)","2","10","","german_ss"
"sparkling-morning-1777","0.1428571428571428","0.7466666666666667","0.09783320196529648","0.48","0.13186813186813184","0.3895781637717121","c-fair(new)","6","100","","german_ss"
